"Piso en ronda de Sant Antoni, Barcelona, 18, El Raval, Barcelona",875,€/mes,1 ,60 ,2ª planta exterior con ascensor
"Piso en calle de Casp, El Fort Pienc, Barcelona",1.400,€/mes,3 ,125 , exterior con ascensor
"Piso en La Nova Esquerra de l'Eixample, Barcelona",1.400,€/mes,4 ,110 ,Entreplanta interior con ascensor
"Piso en calle Sicilia, Barcelona, La Sagrada Família, Barcelona",1.000,€/mes,3 ,97 ,1ª planta exterior con ascensor
"Piso en mare de deu del carmel, El Putxet i el Farró, Barcelona",1.350,€/mes,2 ,117 ,1ª planta exterior con ascensor
"Piso en calle dels Tallers, Barcelona, El Raval, Barcelona",700,€/mes,1 ,32 ,4ª planta exterior con ascensor
Casa o chalet independiente en Monistrol de Montserrat,1.000,€/mes,4 ,160 ,1 hora
"Piso en calle Viladomat, Barcelona, La Nova Esquerra de l'Eixample, Barcelona",700,€/mes,1 ,29 ,7ª planta exterior con ascensor
"Piso en calle Viladomat, Barcelona, Sant Antoni, Barcelona",1.225,€/mes,3 ,82 ,1ª planta exterior con ascensor
"Piso en calle de Sardenya, Barcelona, El Camp d'En Grassot i Gràcia Nova, Barcelona",1.100,€/mes,3 ,85 ,3ª planta exterior con ascensor
"Piso en calle d'Avinyó, Barcelona, El Gòtic, Barcelona",1.450,€/mes,1 ,78 ,2ª planta exterior sin ascensor
"Piso en El Raval, Barcelona",1.350,€/mes,2 ,94 ,Entreplanta  con ascensor
"Piso en calle del Moianès, Barcelona, 56, Hostafrancs, Barcelona",850,€/mes,1 ,32 ,4ª planta exterior con ascensor
"Piso en calle de les Moles, El Gòtic, Barcelona",1.300,€/mes,2 ,68 ,1ª planta 
"Piso en calle de Meer, La Barceloneta, Barcelona",945,€/mes,1 ,35 ,3ª planta exterior sin ascensor
"Piso en calle Mallorca, L'Antiga Esquerra de l'Eixample, Barcelona",1.300,€/mes,3 ,110 ,6ª planta exterior con ascensor
"Piso en riera Blanca, 118, La Torrasa, Hospitalet de Llobregat",750,€/mes,2 ,45 ,7ª planta exterior con ascensor
